freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag,Z_re_percentile_0dot1,Z_re_percentile_0dot9,Z_im_percentile_0dot1,Z_im_percentile_0dot9
0.02,8.12549471936139,-0.0825284863052626,8.14,-0.0787,8.122019436883653,8.129021888656453,-0.08604380541650107,-0.0795424529122325
0.0233,8.122458352438692,-0.09416360943348623,8.14,-0.0903,8.119202129833344,8.125736202926275,-0.09752350129649433,-0.09119771027824207
0.0272,8.11861668805417,-0.10763382701855237,8.13,-0.10300000000000001,8.11555578659124,8.121673781200702,-0.11086460840221606,-0.1046847610678309
0.0318,8.113814938551679,-0.12313877621535277,8.13,-0.11699999999999999,8.110920907584854,8.11667221124946,-0.12626436833725957,-0.12022007598125468
0.037,8.108079020239725,-0.1401628108774174,8.12,-0.133,8.105372386164058,8.110763019272609,-0.1432026671494008,-0.1372931248481526
0.0433,8.100766404041563,-0.16009221879847063,8.11,-0.153,8.098160192862538,8.103320926639952,-0.16302981294923435,-0.15732734894583836
0.0505,8.09201396116607,-0.18197955842218336,8.1,-0.174,8.089426228814295,8.094534369440101,-0.18478478108546056,-0.17930339998535996
0.0588,8.081534316819718,-0.20610955236513956,8.08,-0.19699999999999998,8.078915643599396,8.084062439273303,-0.2087648343410242,-0.20352432559636321
0.0687,8.068623391254306,-0.23350932875190533,8.07,-0.223,8.065960296946635,8.071229137629324,-0.23601031164716982,-0.2310186026318787
0.0801,8.0533618445214,-0.26337836420159955,8.05,-0.253,8.050698635223432,8.056009682683694,-0.2657931642068694,-0.2609962174723537
0.0935,8.03505031573556,-0.2964331091156417,8.03,-0.28600000000000003,8.032384435864888,8.037701863983713,-0.29874987817546644,-0.29409040743115356
0.109,8.013535373624517,-0.3322384404852223,8.01,-0.32299999999999995,8.010903098769672,8.016164687010958,-0.33458676859233144,-0.329884866876095
0.127,7.988303516438115,-0.3709760986731391,7.99,-0.361,7.9857012622979955,7.990932139945989,-0.3732927928383951,-0.3686641606434709
0.149,7.957300170671805,-0.4146894457840119,7.96,-0.40299999999999997,7.9546860005691435,7.959922783445453,-0.41703324609420567,-0.41233700043977684
0.17300000000000001,7.923507934705727,-0.4584427452494919,7.92,-0.449,7.920923353372086,7.92612701911733,-0.46079858300695753,-0.45608692458086814
0.20199999999999999,7.882957165868714,-0.5065743953338795,7.88,-0.498,7.8803033532090145,7.885601843883703,-0.508907332071304,-0.5041884767665284
0.23600000000000002,7.83604256061879,-0.5573321736604093,7.83,-0.55,7.833365305848445,7.838750429901835,-0.5596878364998759,-0.5549904093496694
0.275,7.7833369226769324,-0.6091875948597545,7.78,-0.602,7.780615042528622,7.7860972699554045,-0.611607020545466,-0.6068544544297082
0.321,7.722954067898032,-0.6630640683338113,7.72,-0.655,7.720200069168351,7.725708644017294,-0.665467059472755,-0.6606852725802743
0.375,7.654731751323655,-0.7179434089936028,7.65,-0.711,7.651965944909915,7.657476052960779,-0.7203697369329548,-0.7155330879010989
0.43799999999999994,7.578850370841559,-0.7726839910365473,7.58,-0.768,7.576084936222037,7.58159651552634,-0.7751142081114226,-0.7702089303694922
0.511,7.495785089290768,-0.8260943149404676,7.5,-0.823,7.493016224749448,7.498549465153599,-0.8285782099891396,-0.8236305017752976
0.596,7.405334094682066,-0.8776425605397491,7.41,-0.8690000000000001,7.402542023600422,7.408045882120276,-0.8800940455968921,-0.8751747091084445
0.6940000000000001,7.308722912670085,-0.9260642072263334,7.31,-0.9229999999999999,7.305968767388945,7.311445820915907,-0.9285150799962588,-0.9235982770574275
0.8109999999999999,7.202979072915797,-0.9721572799886059,7.2,-0.9690000000000001,7.200241121290877,7.205683838795887,-0.9746113981683829,-0.9697284013089903
0.946,7.092273707601892,-1.0135270758705888,7.09,-1.01,7.089584417170856,7.0950306452633605,-1.0159862725485704,-1.0110514309950236
1.1,6.978572353585507,-1.0494445108757946,6.98,-1.04,6.975905226399736,6.981372263060093,-1.051932263420042,-1.0469889613743306
1.29,6.853718394369182,-1.0819323647607455,6.85,-1.07,6.85101024021133,6.856520789363383,-1.0843838125036769,-1.079482861373017
1.5,6.731897809001931,-1.1072110478050496,6.72,-1.1,6.729158035842929,6.734737368845493,-1.1096437963313497,-1.1047077400495338
1.75,6.6046517723434,-1.1273346931451718,6.6,-1.13,6.60187292367145,6.607461009735852,-1.1297725749470966,-1.1248315986154394
2.04,6.476253026636677,-1.1415947714850598,6.48,-1.13,6.473477248865192,6.479014484872088,-1.1440345529601597,-1.1391212512106936
2.38,6.34620163590058,-1.1501808959499782,6.34,-1.14,6.343429077996632,6.348953476375125,-1.1526188902904968,-1.1477477556649074
2.78,6.215016597153178,-1.153176022505218,6.21,-1.16,6.212227238764146,6.217762603620513,-1.1556225723132916,-1.1507649934348065
3.25,6.0837389582058305,-1.1507054642398558,6.09,-1.15,6.081008407409028,6.086526342943221,-1.1531754955462759,-1.1483072504013578
3.79,5.955883002618731,-1.143197160301133,5.95,-1.13,5.953130774581447,5.958681343616898,-1.1456947168816645,-1.1407933971543804
4.42,5.829914779114015,-1.1309829466258967,5.83,-1.13,5.827171648233003,5.832682594825081,-1.13346432425256,-1.1285757876079423
5.16,5.705611569627509,-1.1143112016001198,5.71,-1.1,5.702854853804531,5.708352022431915,-1.1167834796797045,-1.1118747620187208
6.02,5.584818480811203,-1.0937080951683282,5.59,-1.1,5.582028011932708,5.587566640676364,-1.0961779779590655,-1.0912146499540096
7.03,5.466738952250456,-1.0693535524101114,5.46,-1.07,5.463932594129319,5.469444046247843,-1.071821958301117,-1.066866695630478
