freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag,Z_re_percentile_0dot1,Z_re_percentile_0dot9,Z_im_percentile_0dot1,Z_im_percentile_0dot9
0.02,4.37824909655504,-0.050491896602429184,4.38,-0.0456,4.374450170145306,4.381969731412379,-0.055511292420545026,-0.04598014272895411
0.0233,4.3761573978091945,-0.05573341758728751,4.38,-0.0525,4.37257410069045,4.379713949125912,-0.06007768276776857,-0.051698559971833175
0.0272,4.3738823623435605,-0.061977037680643915,4.37,-0.0593,4.370511550838373,4.377249101035484,-0.06575835592250882,-0.05833988389074228
0.0318,4.3713208042283185,-0.06936214115147302,4.37,-0.0673,4.368110095445603,4.374544505138446,-0.07274836549724222,-0.06612921315118293
0.037,4.368515392958936,-0.07768561576642337,4.37,-0.0761,4.365435475364431,4.371578964568304,-0.08069359455945721,-0.07470508629307883
0.0433,4.365165460289535,-0.08768127093272662,4.37,-0.0876,4.362178173842585,4.368117657558202,-0.09043312949479003,-0.0848700156392711
0.0505,4.36134558884014,-0.09896472628507982,4.36,-0.0996,4.358466796877331,4.364162002426757,-0.10156348413218202,-0.09629572326798289
0.0588,4.356860646723791,-0.1118111884428176,4.36,-0.113,4.354032079005849,4.359617143254934,-0.11430738805973281,-0.10919008746981744
0.0687,4.3513451339565785,-0.12683535946312047,4.35,-0.127,4.348569306004413,4.3540614930340436,-0.12930013526216896,-0.1243018038071704
0.0801,4.344754190593298,-0.14376132857411134,4.34,-0.145,4.341978980897831,4.34743225494718,-0.14620443242469194,-0.14132197395307927
0.0935,4.336642181919565,-0.16314112196349193,4.33,-0.16399999999999998,4.333782998662433,4.339409960308482,-0.16554527037675582,-0.16078033586724796
0.109,4.326732594414688,-0.18485016810036486,4.32,-0.187,4.323774007005304,4.329574453707216,-0.18715137632467388,-0.1825901502499062
0.127,4.3145181645761355,-0.2091055628727541,4.31,-0.21,4.311458565478288,4.317442486906923,-0.21129548525751152,-0.20689522164196347
0.149,4.298606180442583,-0.2372985700235851,4.3,-0.237,4.295607754237449,4.301505231776642,-0.23954520767174,-0.23511216136522403
0.17300000000000001,4.28015835245725,-0.26619852711040237,4.28,-0.268,4.277193320825032,4.283054249855719,-0.26848965816822223,-0.2639397510105404
0.20199999999999999,4.256640404115142,-0.298527981947745,4.26,-0.3,4.253719833275741,4.2594705906643835,-0.3009334892228037,-0.29614986211894967
0.23600000000000002,4.2277896005682525,-0.3328956610242113,4.23,-0.33299999999999996,4.224900830396134,4.230573200160034,-0.3353993623222544,-0.33038523430093375
0.275,4.193605873671068,-0.3678095829541872,4.2,-0.368,4.190690757895704,4.196385670684205,-0.3703687218060285,-0.3652516185218133
0.321,4.152648663142605,-0.4032526080739762,4.15,-0.402,4.149704157933329,4.155530496699736,-0.4058036522291994,-0.4007245519080657
0.375,4.104699064348147,-0.43779702165797385,4.11,-0.439,4.101715229375402,4.107693069043121,-0.44031522061893574,-0.4353367349671985
0.43799999999999994,4.050093284616164,-0.4698430922455792,4.05,-0.473,4.046995582791215,4.053186272261952,-0.4723315897366216,-0.46741180071463917
0.511,3.98971355873116,-0.4977965244229545,3.99,-0.5,3.9865655415115784,3.9927647192769142,-0.500309156629677,-0.4953075846595818
0.596,3.9241339741292185,-0.5205469785054618,3.93,-0.518,3.921000976880474,3.927185901958776,-0.5230991260134508,-0.5179799098043103
0.6940000000000001,3.8552184508658547,-0.5369044206930194,3.86,-0.54,3.8521495396763705,3.858253631573592,-0.5395612762236986,-0.5342519281277353
0.8109999999999999,3.7820849743895906,-0.5465587247020092,3.78,-0.5489999999999999,3.779024009749155,3.785155271744082,-0.549267163149658,-0.5438376879777486
0.946,3.708912509724808,-0.5486866420067833,3.71,-0.551,3.7058277298600917,3.711995421945419,-0.5514311316359938,-0.5459830171683674
1.1,3.638072679847468,-0.5437254985448887,3.64,-0.539,3.6348749377896574,3.641176404363464,-0.5464661606100902,-0.5410794188027821
1.29,3.565812918705162,-0.5314777634372658,3.56,-0.525,3.56253795666141,3.568927071043854,-0.5341584243635701,-0.5288324264075345
1.5,3.5012047556826795,-0.514172875470245,3.5,-0.514,3.4979539746585186,3.504401032286219,-0.516839977352408,-0.5114745048878735
1.75,3.4400428825157556,-0.49191745063421455,3.45,-0.49200000000000005,3.436765470428366,3.443295842863091,-0.49458310430175456,-0.48923049743197383
2.04,3.384677594730738,-0.4665541281581458,3.39,-0.45799999999999996,3.3814473703066232,3.387899390808794,-0.4692517070437406,-0.4637957977211717
2.38,3.334746781561245,-0.43914435105190786,3.33,-0.435,3.331506210016132,3.3379164784107207,-0.44183804352793943,-0.43639684304872534
2.78,3.290145303401972,-0.4108303380226766,3.29,-0.41100000000000003,3.28690000369882,3.293276928145598,-0.41350003204515734,-0.4081090252887701
3.25,3.250553097337768,-0.3827393463329891,3.25,-0.37799999999999995,3.2473658574164164,3.2536794090492274,-0.3854542512358391,-0.3799837561858549
3.79,3.216178237145921,-0.35621365083036766,3.22,-0.359,3.213000701110869,3.2193741306092494,-0.3590077704873325,-0.35351818296326154
4.42,3.185603179116165,-0.33128211931988144,3.19,-0.32899999999999996,3.182492247316696,3.188779006646245,-0.33410317475138257,-0.3285560355396906
5.16,3.1580071312726243,-0.30804110293270226,3.15,-0.306,3.1548736659738057,3.1611740440523532,-0.31081829524181503,-0.3052851439585968
6.02,3.133096125257679,-0.2867788061046892,3.13,-0.28600000000000003,3.129924796206063,3.136235195656362,-0.28950177598547455,-0.28402350600955867
7.03,3.110134074997414,-0.2671733288870334,3.11,-0.265,3.10691821321826,3.113317968938354,-0.26984679854118515,-0.26445541637249753
8.19,3.0892023169401526,-0.24944152456751914,3.09,-0.248,3.0859394950292445,3.092427997763665,-0.25212233206759427,-0.24679368526606338
9.56,3.069464080030112,-0.23287552094038622,3.07,-0.231,3.0661604211018814,3.0727495285922983,-0.23546752010978153,-0.23024973519272413
11.2,3.050650650162206,-0.21720933346839574,3.05,-0.21600000000000003,3.0473430950549147,3.053924389825713,-0.21980902743445704,-0.21458473122243435
13.0,3.034091751829745,-0.2035349119476454,3.03,-0.20199999999999999,3.0308688100258574,3.0372663986561674,-0.20615313138243777,-0.20092550733655434
15.2,3.0178611727928253,-0.1902179895371769,3.02,-0.19,3.0146919463465265,3.021043106024576,-0.19295595201740498,-0.18757230683725945
17.7,3.0030878916490953,-0.17821278518059838,3.0,-0.17600000000000002,2.9999720275350428,3.006194773772969,-0.1809502266321454,-0.17558327459669035
20.7,2.9888614649640646,-0.1667717170340734,2.99,-0.166,2.9857412382311885,2.9919623172662226,-0.16955777906011904,-0.16412166488097077
24.1,2.9758762522884785,-0.15653327983139484,2.98,-0.155,2.9727921987008634,2.9789401420605897,-0.15923726756880316,-0.15380325695262156
28.2,2.9632303458452633,-0.1467406435399522,2.96,-0.146,2.960224841187923,2.966274395707722,-0.1494742686276483,-0.14407891534484696
32.9,2.951475824610829,-0.13784318648019803,2.95,-0.13699999999999998,2.948397379750451,2.954520251755915,-0.14052925826404047,-0.13519409273588798
38.3,2.940480374318069,-0.12965495053107354,2.94,-0.129,2.9373833340096924,2.9435388331680334,-0.1322523983392291,-0.12704144914069768
44.7,2.9298230470081332,-0.12182658378173268,2.93,-0.121,2.926715061537122,2.9329543096129655,-0.12428487888474174,-0.11927159822622171
52.2,2.919675690557363,-0.11439340841812144,2.92,-0.113,2.916570649784017,2.9227964855149713,-0.11684065380967953,-0.11188559260134313
60.9,2.9101033223115227,-0.10733859532770472,2.91,-0.107,2.9070607837455755,2.9132074759307427,-0.10983575794464862,-0.10484466628715042
71.0,2.9011282362996584,-0.10059870247704203,2.9,-0.0991,2.898128648283137,2.9042663022774873,-0.10308168934477298,-0.09807784269847077
