freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag
0.02,4.377868180908116,-0.050325720646506464,4.38,-0.0456
0.0233,4.375864279246903,-0.05543040419715516,4.38,-0.0525
0.0272,4.373688870402546,-0.06155363534730359,4.37,-0.0593
0.0318,4.371290070577882,-0.0688153951380353,4.37,-0.0673
0.037,4.368681646123806,-0.07706766837962344,4.37,-0.0761
0.0433,4.365553063132197,-0.08704246685847859,4.37,-0.0876
0.0505,4.361947339386441,-0.09838651499420753,4.36,-0.0996
0.0588,4.357696208518291,-0.11134911031619049,4.36,-0.113
0.0687,4.3523984223266385,-0.12659791229572992,4.35,-0.127
0.0801,4.3459679411676095,-0.14384276719516792,4.34,-0.145
0.0935,4.33793952913849,-0.1636161100636047,4.33,-0.16399999999999998
0.109,4.327960987396015,-0.18576639309729315,4.32,-0.187
0.127,4.315522155628464,-0.21045757845121782,4.31,-0.21
0.149,4.2991992715488845,-0.2390641792621361,4.3,-0.237
0.17300000000000001,4.280213089211227,-0.26822997608909294,4.28,-0.268
0.20199999999999999,4.2560004361131405,-0.30063165033916545,4.26,-0.3
0.23600000000000002,4.226385570136726,-0.3348018591299393,4.23,-0.33299999999999996
0.275,4.191526995337611,-0.3692367279198192,4.2,-0.368
0.321,4.150080557335071,-0.40394225663195404,4.15,-0.402
0.375,4.101963930589906,-0.43755529972102136,4.11,-0.439
0.43799999999999994,4.047552824472393,-0.4686187219592305,4.05,-0.473
0.511,3.9877425821597203,-0.49570499819994485,3.99,-0.5
0.596,3.923061935203041,-0.5178646495731102,3.93,-0.518
0.6940000000000001,3.855211101131161,-0.5340076860996257,3.86,-0.54
0.8109999999999999,3.7832051291576754,-0.5438892140183641,3.78,-0.5489999999999999
0.946,3.710992446557218,-0.546679215976658,3.71,-0.551
1.1,3.64074133172569,-0.5426781766585134,3.64,-0.539
1.29,3.5686369808019327,-0.5316374907718666,3.56,-0.525
1.5,3.5037188890065014,-0.5154266402883376,3.5,-0.514
1.75,3.4417879890688123,-0.49406901229490763,3.45,-0.49200000000000005
2.04,3.385375919273013,-0.46921045557417196,3.39,-0.45799999999999996
2.38,3.334302996638405,-0.4417962021833357,3.33,-0.435
2.78,3.288600717651722,-0.4130246770859891,3.29,-0.41100000000000003
3.25,3.2482722984871715,-0.3840872062477766,3.25,-0.37799999999999995
3.79,3.213594938989803,-0.35652405320973624,3.22,-0.359
