tau_vec,gamma_GP_unc,gamma_median_constr
1.00E-05,0.00772783,0.006524339
1.20E-05,0.006315768,0.005474379
1.44E-05,0.004822505,0.004374128
1.72E-05,0.003384819,0.003348778
2.06E-05,0.002132978,0.002435859
2.47E-05,0.001174017,0.001715443
2.96E-05,0.000578617,0.001239707
3.55E-05,0.000373968,0.001045576
4.26E-05,0.000543778,0.001094147
5.10E-05,0.001035152,0.001363083
6.12E-05,0.001770599,0.001819719
7.33E-05,0.002662408,0.00244141
8.79E-05,0.003626264,0.003177892
0.000105311,0.004591346,0.004009968
0.000126219,0.005505243,0.004899571
0.000151278,0.006333491,0.005818127
0.000181312,0.007055028,0.006716891
0.000217309,0.007655999,0.00756425
0.000260454,0.008124739,0.008280736
0.000312163,0.008450382,0.008823164
0.00037414,0.008626355,0.009135471
0.00044842,0.008658394,0.009171415
0.000537449,0.008575029,0.009021303
0.000644153,0.008437203,0.008700778
0.000772041,0.008343239,0.008379012
0.00092532,0.008425854,0.008228132
0.001109031,0.00883946,0.008444499
0.001329216,0.009738112,0.009223212
0.001593115,0.011246916,0.010731434
0.001909409,0.013431719,0.013022022
0.002288498,0.016273134,0.016079107
0.002742851,0.019650911,0.01971849
0.00328741,0.023343343,0.023673152
0.003940085,0.027043916,0.027579126
0.004722341,0.03039424,0.031029686
0.005659903,0.033029092,0.033645372
0.006783607,0.034626789,0.035069539
0.008130408,0.034956644,0.03510121
0.009744601,0.033915378,0.033702896
0.011679271,0.03154596,0.030991409
0.013998046,0.028035311,0.027235739
0.016777185,0.02369088,0.02277906
0.020108088,0.018899812,0.018057069
0.024100301,0.014077369,0.01350066
0.028885119,0.009612994,0.009447676
0.034619903,0.005822565,0.006152945
0.041493257,0.002914007,0.003713235
0.049731231,0.000970821,0.002130858
0.059604754,-4.52E-05,0.001273295
0.071438542,-0.000274036,0.000969962
0.085621783,7.47E-05,0.001002592
0.102620932,0.000760337,0.001168921
0.122995052,0.001548501,0.001328648
0.147414202,0.002242496,0.00138759
0.176681473,0.002703809,0.001319326
0.211759399,0.002860589,0.00115972
0.253801615,0.002704566,0.000925986
0.304190795,0.002278972,0.000699994
0.364584124,0.001661116,0.000507858
0.436967803,0.000943533,0.000390504
0.523722369,0.00021712,0.000332647
0.627700983,-0.000441361,0.000320229
0.752323269,-0.000976349,0.000325041
0.901687771,-0.001355285,0.000336012
1.080706753,-0.001566271,0.000343869
1.295267744,-0.001613201,0.000340146
1.552427173,-0.001510067,0.000335249
1.860642434,-0.001275833,0.000335274
2.230050032,-0.000930751,0.000347661
2.672798951,-0.00049442,0.000386206
3.203450204,1.46E-05,0.000441123
3.839455717,0.0005783,0.000512894
4.601732277,0.001177981,0.000587603
5.515349442,0.001793724,0.000664706
6.610354023,0.002404056,0.000757877
7.922758253,0.002986491,0.00084353
9.495724149,0.003518678,0.000941679
11.38098302,0.003979949,0.001071848
13.64053677,0.00435293,0.001226514
16.34869705,0.004624931,0.001426955
19.59452913,0.004788867,0.00169586
23.48478112,0.004843607,0.002020696
28.14739464,0.004793733,0.002438381
33.73571256,0.004648797,0.002925573
40.43352204,0.004422222,0.003480948
48.46109895,0.00413001,0.004048673
58.08245222,0.003789424,0.004605157
69.61400646,0.003417771,0.005042312
83.43500852,0.003031378,0.005356139
100,0.002644806,0.005683255
