freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag
0.02,8.125539756308942,-0.08248853660653074,8.14,-0.0787
0.0233,8.122515985622666,-0.09411256972869078,8.14,-0.0903
0.0272,8.118725232156443,-0.10760098408906763,8.13,-0.10300000000000001
0.0318,8.113934276406011,-0.12313308514014461,8.13,-0.11699999999999999
0.037,8.108199674189915,-0.1402006213496874,8.12,-0.133
0.0433,8.100872282416994,-0.1601788252790785,8.11,-0.153
0.0505,8.092103854624686,-0.18210018730208793,8.1,-0.174
0.0588,8.081598055444205,-0.20626019632800885,8.08,-0.19699999999999998
0.0687,8.068637950369954,-0.23367439879343505,8.07,-0.223
0.0801,8.053336869792972,-0.263515029702203,8.05,-0.253
0.0935,8.034963345939094,-0.2965522233878529,8.03,-0.28600000000000003
0.109,8.01341714841033,-0.33234057614890666,8.01,-0.32299999999999995
0.127,7.988154788628007,-0.371023971967928,7.99,-0.361
0.149,7.957156073277252,-0.41467558245181635,7.96,-0.40299999999999997
0.17300000000000001,7.923373453233986,-0.4583587820753564,7.92,-0.449
0.20199999999999999,7.882845656189877,-0.5064318840629676,7.88,-0.498
0.23600000000000002,7.835990226103531,-0.5571773006896719,7.83,-0.55
0.275,7.783375127713921,-0.609049117877466,7.78,-0.602
0.321,7.723076946714008,-0.6629224844884114,7.72,-0.655
0.375,7.654887424229989,-0.7178324556882265,7.65,-0.711
0.43799999999999994,7.579029940247951,-0.7726462345064294,7.58,-0.768
0.511,7.4959571037232955,-0.826144423902123,7.5,-0.823
0.596,7.405472128323457,-0.8777653059102306,7.41,-0.8690000000000001
0.6940000000000001,7.3088102510729875,-0.9262288927841282,7.31,-0.9229999999999999
0.8109999999999999,7.203007244754534,-0.972332997420194,7.2,-0.9690000000000001
0.946,7.0922316729079435,-1.0136895395645023,7.09,-1.01
1.1,6.978470654089209,-1.04956397475079,6.98,-1.04
1.29,6.853537653119867,-1.0819770557746216,6.85,-1.07
1.5,6.7317044573760185,-1.1071693503938578,6.72,-1.1
1.75,6.604481305800824,-1.1272335226534773,6.6,-1.13
2.04,6.476141651106589,-1.141431687535476,6.48,-1.13
2.38,6.3461919292755145,-1.1499848978898621,6.34,-1.14
2.78,6.215080890271659,-1.1529815849291374,6.21,-1.16
3.25,6.083893884452971,-1.1505427329667521,6.09,-1.15
3.79,5.956092237822645,-1.1430961388186263,5.95,-1.13
4.42,5.8301395335159345,-1.1309656525735492,5.83,-1.13
5.16,5.705830785928288,-1.1143791159814969,5.71,-1.1
6.02,5.584993784388493,-1.093852223243448,5.59,-1.1
7.03,5.466846284363623,-1.0695299810021055,5.46,-1.07
8.19,5.354246495133501,-1.0423916210165176,5.35,-1.04
9.56,5.244326955051739,-1.012102029292421,5.24,-1.01
11.2,5.136387827312356,-0.9785939236748755,5.14,-0.9740000000000001
13.0,5.03924360041191,-0.945148652887069,5.04,-0.941
15.2,4.942133312845528,-0.9085242021991609,4.94,-0.904
17.7,4.852366164407874,-0.8717365297080084,4.85,-0.867
20.7,4.76503238296992,-0.8331832973694031,4.76,-0.826
24.1,4.684995678305533,-0.7954023670723309,4.68,-0.7929999999999999
28.2,4.6071939145042755,-0.7563684535262912,4.61,-0.754
32.9,4.535546456224916,-0.7183433452732821,4.54,-0.716
38.3,4.469287135835083,-0.6813875364787537,4.47,-0.68
44.7,4.406224578089549,-0.644528689269886,4.4,-0.643
52.2,4.347067107074125,-0.6084351447862537,4.35,-0.606
60.9,4.292215563672413,-0.573585552835018,4.29,-0.5710000000000001
71.0,4.2413687696550095,-0.5400181935921267,4.24,-0.539
82.9,4.193621757243379,-0.5073448859735836,4.19,-0.505
96.8,4.149335934656442,-0.47596244965484863,4.15,-0.475
113.0,4.1083782757544896,-0.446016502370287,4.1,-0.444
132.0,4.070377817038816,-0.4173720913977477,4.07,-0.41600000000000004
154.0,4.035574600710428,-0.39048537335563216,4.04,-0.39
179.0,4.004207724508159,-0.3657330620198733,4.0,-0.36200000000000004
209.0,3.9743587937161635,-0.3418145757199654,3.97,-0.341
244.0,3.946822376204595,-0.3195216453636751,3.95,-0.318
285.0,3.921263532973229,-0.2987819582304083,3.92,-0.297
332.0,3.8979450843851127,-0.27995051376833946,3.9,-0.281
388.0,3.8757609634451873,-0.26224689508425214,3.88,-0.261
452.0,3.85540688714115,-0.24631236108194088,3.85,-0.247
527.0,3.8361685929438103,-0.23159934652939657,3.83,-0.23199999999999998
616.0,3.817680974097935,-0.21786706025597358,3.82,-0.218
718.0,3.8004811465944828,-0.2054660093547477,3.8,-0.20600000000000002
838.0,3.783946638604232,-0.19393057802964125,3.78,-0.19399999999999998
978.0,3.7681924340703294,-0.18323542154917127,3.77,-0.182
1140.0,3.7532482075505795,-0.1733608341721307,3.75,-0.171
1330.0,3.7388905439219315,-0.1640668777165068,3.74,-0.163
1550.0,3.725268312798983,-0.15536947919238153,3.73,-0.156
1810.0,3.712087233859526,-0.14707365449722948,3.71,-0.14800000000000002
2120.0,3.6992789671142896,-0.13905128382439275,3.7,-0.138
2470.0,3.687479974125802,-0.13167635086176435,3.69,-0.131
2880.0,3.6762295482131035,-0.12461338219172494,3.68,-0.125
3360.0,3.6654972237332855,-0.11785260916307261,3.66,-0.11699999999999999
3920.0,3.6553075760788905,-0.11140933546002255,3.65,-0.109
4570.0,3.645673364441012,-0.10528130381992287,3.64,-0.105
5390.0,3.63588994499495,-0.09899395323428953,3.64,-0.0994
