tau_vec,gamma_GP_unc,gamma_median_constr
1.00E-06,-0.00186824,0.019502449
1.26E-06,0.003065343,0.016953289
1.58E-06,0.008317482,0.015149224
2.00E-06,0.013397421,0.014046719
2.51E-06,0.017815431,0.014285028
3.16E-06,0.021177031,0.01609547
3.98E-06,0.02327211,0.018331852
5.01E-06,0.024136859,0.020530028
6.31E-06,0.024068559,0.0225844
7.94E-06,0.023581312,0.024186543
1.00E-05,0.023304037,0.025298691
1.26E-05,0.023838035,0.026299175
1.58E-05,0.025606029,0.027789115
2.00E-05,0.028732916,0.030018091
2.51E-05,0.032996493,0.03317191
3.16E-05,0.037872333,0.037115009
3.98E-05,0.0426727,0.041343005
5.01E-05,0.046750777,0.045382522
6.31E-05,0.049717092,0.048687971
7.94E-05,0.051603656,0.051167289
0.0001,0.0529189,0.053046575
0.000125893,0.054563451,0.055112268
0.000158489,0.057616888,0.058373108
0.000199526,0.063047465,0.063789151
0.000251189,0.071426671,0.071966172
0.000316228,0.082737458,0.082909101
0.000398107,0.096344265,0.096255324
0.000501187,0.111148692,0.110841064
0.000630957,0.125898958,0.125417238
0.000794328,0.139570884,0.138951088
0.001,0.151709361,0.151133102
0.001258925,0.162622525,0.162283037
0.001584893,0.173357179,0.173335403
0.001995262,0.185444121,0.18575161
0.002511886,0.200468917,0.201067202
0.003162278,0.21957751,0.220410223
0.003981072,0.243050314,0.243852169
0.005011872,0.270065021,0.27054431
0.006309573,0.298720291,0.298699774
0.007943282,0.326323193,0.325658289
0.01,0.34987271,0.34874375
0.012589254,0.366620138,0.365183553
0.015848932,0.374569287,0.373394758
0.019952623,0.372799688,0.372265759
0.025118864,0.361547378,0.362034097
0.031622777,0.342044484,0.343561395
0.039810717,0.316181035,0.318405233
0.050118723,0.286092436,0.288353465
0.063095734,0.25378404,0.255286219
0.079432823,0.2208801,0.22089083
0.1,0.188537732,0.186731102
0.125892541,0.157512926,0.154281131
0.158489319,0.1283217,0.124491516
0.199526231,0.101417541,0.098250333
0.251188643,0.077311283,0.076035896
0.316227766,0.056587849,0.058008509
0.398107171,0.039815313,0.043940587
0.501187234,0.027381847,0.033298093
0.630957344,0.019322616,0.025480287
0.794328235,0.015203841,0.019613439
1,0.014114352,0.015010339
1.258925412,0.014781997,0.011308443
1.584893192,0.015794125,0.008281406
1.995262315,0.015869676,0.005776764
2.511886432,0.014114692,0.00383667
3.16227766,0.010197085,0.002489205
3.981071706,0.004398382,0.001756574
5.011872336,-0.002467445,0.001442358
6.309573445,-0.009244732,0.001411398
7.943282347,-0.014688184,0.001494795
10,-0.017717264,0.001596908
12.58925412,-0.017618831,0.001704278
15.84893192,-0.014161248,0.00185499
19.95262315,-0.00760704,0.002102735
25.11886432,0.001365413,0.002507491
31.6227766,0.011803279,0.00308097
39.81071706,0.022647626,0.003808673
50.11872336,0.03289371,0.004656878
63.09573445,0.041716501,0.00564179
79.43282347,0.048546819,0.006852793
100,0.053095853,0.008189937
125.8925412,0.055335576,0.009941922
158.4893192,0.055448537,0.011819353
199.5262315,0.053762196,0.014264739
251.1886432,0.050681461,0.017220965
316.227766,0.046629487,0.020712529
398.1071706,0.042002528,0.024602623
501.1872336,0.037140674,0.029216783
630.9573445,0.03231338,0.034326054
794.3282347,0.027716871,0.039696046
1000,0.023479839,0.045244108
1258.925412,0.019673964,0.051599051
1584.893192,0.016326367,0.057650753
1995.262315,0.013431955,0.063772709
2511.886432,0.010964358,0.070238174
3162.27766,0.008884843,0.075172263
3981.071706,0.00714906,0.07932685
5011.872336,0.005711781,0.081172309
6309.573445,0.004529931,0.080422814
7943.282347,0.003564297,0.079348097
10000,0.002780268,0.075972499
