freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag
0.01479825,9.15890332802229,-0.15518337709029265,9.2082,-0.15016
0.02183141,9.122037805381805,-0.19460391487226344,9.1435,-0.18141
0.03232928,9.073948413134477,-0.23852249808478967,9.0803,-0.22050999999999998
0.04782734,9.014935290486521,-0.2863132201663098,9.0162,-0.26295999999999997
0.07066042,8.944949817087265,-0.3388953473359362,8.9432,-0.31364000000000003
0.1044452,8.86223552592983,-0.3983594311644305,8.8572,-0.37249
0.1542753,8.763637331818224,-0.46583692182381686,8.7552,-0.44553999999999994
0.2281688,8.643812954544215,-0.5412602108102836,8.6387,-0.52581
0.33724,8.498485273232927,-0.6207775701900116,8.497,-0.6038399999999999
0.4988825,8.323933209821195,-0.6978101175352581,8.3225,-0.68092
0.7381425,8.121377327148059,-0.7633208035949768,8.113999999999999,-0.7522800000000001
1.089913,7.897526495403344,-0.8082430240735208,7.8916,-0.80696
1.610825,7.6603846124911055,-0.8267412039968878,7.6635,-0.81682
2.384768,7.421470922349831,-0.8164855121413627,7.4108,-0.80185
3.525496,7.194445833750253,-0.7801987153717754,7.188,-0.77144
5.2083330000000005,6.987733982814989,-0.724468088640103,6.9814,-0.71942
7.704638,6.805178923104785,-0.6574106493510703,6.8002,-0.65223
11.38848,6.648519018999963,-0.5874471626957734,6.6492,-0.5828399999999999
16.83729,6.514671541690309,-0.5204301697754203,6.5143,-0.5143300000000001
24.88058,6.399918746915023,-0.45964321537015684,6.3985,-0.46082
36.801809999999996,6.299826478338695,-0.4056153522360274,6.2978,-0.40265
54.39082,6.211927909957131,-0.35781980008245784,6.2055,-0.35857
80.43755999999999,6.134178216621381,-0.31475502966839874,6.1335,-0.31166
118.8213,6.066221268558451,-0.27570743424536004,6.066,-0.27421999999999996
175.7311,6.007150861127263,-0.24021476180597673,6.0027,-0.23561999999999997
259.7506,5.956541698260551,-0.20856232972140204,5.9586,-0.20745
384.1396,5.913259539524203,-0.18092307891894577,5.912999999999999,-0.1811
568.0007,5.875950974626142,-0.1571996062983217,5.8734,-0.15834
839.194,5.843374868447265,-0.13696473396141273,5.8419,-0.13901
1240.397,5.814350902802247,-0.11936654565551111,5.8121,-0.11955
1835.5870000000002,5.788312121345858,-0.10355824976664546,5.7877,-0.10353
2710.867,5.765023861869857,-0.0887611464438748,5.7636,-0.086776
4011.283,5.744029336865301,-0.07408220246771861,5.7391,-0.075043
5937.732,5.725199013791528,-0.05872758707751924,5.7225,-0.06305
8763.363000000001,5.708330951007023,-0.04172262476852211,5.705,-0.046601
12952.79,5.692713299322559,-0.021341008968565084,5.6905,-0.024628
19150.83,5.678007454764744,0.00488382923464084,5.6758,-0.0025664
28317.99,5.6640134408951965,0.04065679503544746,5.6669,0.032551
41864.61,5.650509924774621,0.09131637382255203,5.6503,0.082195
61896.9,5.637601132668959,0.16443905391003893,5.6429,0.1594
91504.6,5.625660991947857,0.27118482551677975,5.631,0.26729
135280.6,5.615554938045266,0.42730265316328553,5.6205,0.43331000000000003
199998.1,5.608092666436848,0.6552926380759114,5.6101,0.65871
