freq/Hz,Re(Z)/Ohm*cm^2,Im(Z)/Ohm*cm^2
1.00E+05,6.30E-01,2.18E-01
8.56E+04,6.27E-01,1.87E-01
7.33E+04,6.25E-01,1.57E-01
6.28E+04,6.25E-01,1.34E-01
5.37E+04,6.25E-01,1.14E-01
4.60E+04,6.26E-01,9.62E-02
3.94E+04,6.25E-01,8.24E-02
3.37E+04,6.26E-01,6.95E-02
2.89E+04,6.26E-01,5.94E-02
2.47E+04,6.26E-01,5.01E-02
2.12E+04,6.27E-01,4.26E-02
1.81E+04,6.27E-01,3.59E-02
1.55E+04,6.27E-01,3.02E-02
1.33E+04,6.27E-01,2.53E-02
1.14E+04,6.27E-01,2.11E-02
9.74E+03,6.28E-01,1.73E-02
8.34E+03,6.28E-01,1.41E-02
7.19E+03,6.28E-01,1.13E-02
6.13E+03,6.29E-01,8.77E-03
5.31E+03,6.29E-01,6.56E-03
4.49E+03,6.29E-01,4.85E-03
3.85E+03,6.30E-01,2.63E-03
3.29E+03,6.30E-01,1.09E-03
2.82E+03,6.31E-01,-1.91E-04
2.41E+03,6.31E-01,-1.63E-03
2.06E+03,6.32E-01,-2.74E-03
1.77E+03,6.32E-01,-3.99E-03
1.51E+03,6.33E-01,-5.25E-03
1.30E+03,6.34E-01,-6.24E-03
1.11E+03,6.35E-01,-7.31E-03
9.49E+02,6.36E-01,-8.28E-03
8.13E+02,6.37E-01,-9.34E-03
6.96E+02,6.38E-01,-1.00E-02
5.96E+02,6.39E-01,-1.14E-02
5.10E+02,6.40E-01,-1.23E-02
4.37E+02,6.41E-01,-1.31E-02
3.74E+02,6.42E-01,-1.41E-02
3.21E+02,6.43E-01,-1.51E-02
2.74E+02,6.45E-01,-1.58E-02
2.35E+02,6.47E-01,-1.70E-02
2.01E+02,6.49E-01,-1.81E-02
1.72E+02,6.50E-01,-1.92E-02
1.48E+02,6.52E-01,-2.03E-02
1.26E+02,6.54E-01,-2.15E-02
1.08E+02,6.56E-01,-2.24E-02
9.25E+01,6.58E-01,-2.40E-02
7.92E+01,6.61E-01,-2.54E-02
6.79E+01,6.64E-01,-2.63E-02
5.81E+01,6.67E-01,-2.76E-02
4.98E+01,6.70E-01,-2.88E-02
4.26E+01,6.73E-01,-2.99E-02
3.65E+01,6.77E-01,-3.09E-02
3.12E+01,6.80E-01,-3.12E-02
2.67E+01,6.84E-01,-3.19E-02
2.29E+01,6.88E-01,-3.20E-02
1.96E+01,6.93E-01,-3.14E-02
1.68E+01,6.97E-01,-3.11E-02
1.44E+01,7.00E-01,-3.00E-02
1.23E+01,7.04E-01,-2.90E-02
1.05E+01,7.08E-01,-2.75E-02
9.02E+00,7.11E-01,-2.59E-02
7.72E+00,7.14E-01,-2.39E-02
6.61E+00,7.16E-01,-2.21E-02
5.66E+00,7.18E-01,-2.03E-02
4.85E+00,7.20E-01,-1.85E-02
4.15E+00,7.21E-01,-1.67E-02
3.55E+00,7.23E-01,-1.50E-02
3.04E+00,7.24E-01,-1.35E-02
2.60E+00,7.25E-01,-1.21E-02
2.23E+00,7.26E-01,-1.09E-02
1.91E+00,7.26E-01,-9.74E-03
1.63E+00,7.27E-01,-8.74E-03
1.40E+00,7.27E-01,-7.72E-03
1.20E+00,7.28E-01,-6.88E-03
1.03E+00,7.28E-01,-6.09E-03
8.78E-01,7.29E-01,-5.51E-03
7.52E-01,7.29E-01,-4.88E-03
6.44E-01,7.29E-01,-4.43E-03
5.51E-01,7.29E-01,-3.81E-03
4.73E-01,7.29E-01,-3.46E-03
4.04E-01,7.29E-01,-3.06E-03
3.46E-01,7.30E-01,-2.66E-03
2.96E-01,7.29E-01,-2.35E-03
2.54E-01,7.30E-01,-2.14E-03
2.17E-01,7.30E-01,-1.82E-03
1.86E-01,7.29E-01,-1.59E-03
1.59E-01,7.30E-01,-1.31E-03
1.36E-01,7.30E-01,-1.18E-03
1.17E-01,7.30E-01,-1.08E-03
9.99E-02,7.29E-01,-8.99E-04
