Freq,Re,Im
199998.1,5.6101,0.65871
135280.6,5.6205,0.43331
91504.6,5.631,0.26729
61896.9,5.6429,0.1594
41864.61,5.6503,0.082195
28317.99,5.6669,0.032551
19150.83,5.6758,-0.0025664
12952.79,5.6905,-0.024628
8763.363,5.705,-0.046601
5937.732,5.7225,-0.06305
4011.283,5.7391,-0.075043
2710.867,5.7636,-0.086776
1835.587,5.7877,-0.10353
1240.397,5.8121,-0.11955
839.194,5.8419,-0.13901
568.0007,5.8734,-0.15834
384.1396,5.913,-0.1811
259.7506,5.9586,-0.20745
175.7311,6.0027,-0.23562
118.8213,6.066,-0.27422
80.43756,6.1335,-0.31166
54.39082,6.2055,-0.35857
36.80181,6.2978,-0.40265
24.88058,6.3985,-0.46082
16.83729,6.5143,-0.51433
11.38848,6.6492,-0.58284
7.704638,6.8002,-0.65223
5.208333,6.9814,-0.71942
3.525496,7.188,-0.77144
2.384768,7.4108,-0.80185
1.610825,7.6635,-0.81682
1.089913,7.8916,-0.80696
0.7381425,8.114,-0.75228
0.4988825,8.3225,-0.68092
0.33724,8.497,-0.60384
0.2281688,8.6387,-0.52581
0.1542753,8.7552,-0.44554
0.1044452,8.8572,-0.37249
0.07066042,8.9432,-0.31364
0.04782734,9.0162,-0.26296
0.03232928,9.0803,-0.22051
0.02183141,9.1435,-0.18141
0.01479825,9.2082,-0.15016
